ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Product: ID,Product: Handle,Product: Position,Product: Command,Products Count,Metafield: title_tag [string],Metafield: description_tag [string]
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,181,,9649212686636,alguema-vitrin-tolgyfa-furnerbol-natur-kivitelben-100-x-185-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,182,,9649204068652,blok-4-szemelyes-kanape-jobb-oldali-fekvofotellel-bezs-szinben-330-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,183,,9649198432556,aimin-szek-feher-gyapjubol-matt-bezs-acellabakkal-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,184,,9649183916332,aimin-szek-mustarszinu-gyapjubol-matt-bezs-acellabakbol-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,185,,9649176707372,nebai-szek-feher-gyapjubol-tomor-tolgyfa-szerkezettel-natur-kivitelben-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,186,,9649111236908,maymai-polc-tomor-tolgyfa-szerkezettel-180-x-81-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,187,,9649102553388,marely-bezs-gyapju-szonyeg-160-x-230-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,188,,9649097965868,martina-feher-bolyhos-diszparna-52-x-52-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,189,,9649093574956,martina-feher-bolyhos-diszparna-47-x-36-cm-copy,,MERGE,144,,
480802898220,sale,MERGE,SALE,,Best Selling,,2025-09-11 10:30:35 +0200,TRUE,2024-10-14 00:05:56 +0200,web,,,,,190,,9649087316268,martina-tortfeherbolyhos-parna-60-x-70-cm-copy,,MERGE,144,,
